Journal,分区,Top,Open Access
ACM Journal on Computing and Cultural Heritage,3,否,否
ACM Journal on Emerging Technologies in Computing Systems,4,否,否
ACM SIGCOMM Computer Communication Review,4,否,否
ACM SIGecom Exchanges,4,否,否
ACM Transactions on Accessible Computing,2,否,否
ACM Transactions on Algorithms,3,否,否
ACM Transactions on Applied Perception,3,否,否
ACM Transactions on Architecture and Code Optimization,3,否,否
ACM Transactions on Asian and Low-Resource Language Information Processing,4,否,否
ACM Transactions on Autonomous and Adaptive Systems,4,否,否
ACM Transactions on Computation Theory,4,否,否
ACM Transactions on Computational Logic,4,否,否
ACM TRANSACTIONS ON COMPUTER SYSTEMS,4,否,否
ACM Transactions on Computer-Human Interaction,1,是,否
ACM Transactions on Computing Education,3,否,否
ACM Transactions on Cyber-Physical Systems,4,否,否
ACM TRANSACTIONS ON DATABASE SYSTEMS,2,否,否
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,4,否,否
ACM Transactions on Economics and Computation,4,否,否
ACM Transactions on Embedded Computing Systems,3,否,否
ACM TRANSACTIONS ON GRAPHICS,1,是,否
ACM Transactions on Human-Robot Interaction,2,否,否
ACM TRANSACTIONS ON INFORMATION SYSTEMS,2,否,否
ACM Transactions on Intelligent Systems and Technology,3,否,否
ACM Transactions on Interactive Intelligent Systems,4,否,否
ACM Transactions on Internet of Things,3,否,否
ACM Transactions on Internet Technology,3,否,否
ACM Transactions on Knowledge Discovery from Data,3,否,否
ACM Transactions on Management Information Systems,4,否,否
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2,否,否
ACM Transactions on Modeling and Computer Simulation,4,否,否
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,4,否,否
ACM Transactions on Multimedia Computing Communications and Applications,3,否,否
ACM Transactions on Parallel Computing,4,否,否
ACM Transactions on Privacy and Security,3,否,否
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,2,否,否
ACM Transactions on Quantum Computing,3,否,否
ACM Transactions on Reconfigurable Technology and Systems,3,否,否
ACM Transactions on Sensor Networks,4,否,否
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1,是,否
ACM Transactions on Spatial Algorithms and Systems,4,否,否
ACM Transactions on Storage,3,否,否
ACM Transactions on the Web,4,否,否
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,4,否,是
ACOUSTICAL PHYSICS,4,否,否
Acoustical Science and Technology,4,否,否
Acoustics Australia,4,否,否
Acoustics,4,否,是
Acque Sotterranee-Italian Journal of Groundwater,4,否,是
ACR Open Rheumatology,3,否,是
Across Languages and Cultures,1,是,否
ACS Agricultural Science & Technology,4,否,否
ACS Applied Bio Materials,3,否,否
ACS Applied Electronic Materials,3,否,否
ACS Applied Energy Materials,3,否,否
ACS Applied Materials & Interfaces,2,否,否
ACS Applied Nano Materials,3,否,否
ACS Applied Polymer Materials,2,否,否
ACS Bio & Med Chem Au,4,否,否
ACS Biomaterials Science & Engineering,3,否,否
ACS Catalysis,1,是,否
ACS Central Science,1,是,是
ACS Chemical Biology,2,否,否
ACS Chemical Health & Safety,4,否,否
ACS Chemical Neuroscience,3,否,否
ACS Earth and Space Chemistry,3,否,否
ACS Energy Letters,1,是,否
ACS Engineering Au,3,否,是
ACS Environmental Au,2,否,是
ACS ES&T Engineering,3,否,否
ACS ES&T Water,3,否,否
ACS Food Science & Technology,4,否,否
ACS Infectious Diseases,2,否,否
ACS Macro Letters,1,是,否
ACS Materials Au,3,否,是
ACS Materials Letters,2,否,否
ACS Measurement Science Au,2,否,是
ACS Medicinal Chemistry Letters,3,否,否
ACS Nano,1,是,否
ACS Nanoscience Au,3,否,是
ACS Omega,3,否,是
ACS Organic & Inorganic Au,3,否,是
ACS Pharmacology & Translational Science,3,否,否
ACS Photonics,1,是,否
ACS Physical Chemistry Au,3,否,是
ACS Polymers Au,2,否,是
ACS Sensors,1,是,否
ACS Sustainable Chemistry & Engineering,1,是,否
ACS Synthetic Biology,2,否,否
ACSMS HEALTH & FITNESS JOURNAL,4,否,否
ACTA ACUSTICA,4,否,是
ACTA ADRIATICA,4,否,否
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,4,否,否
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,4,否,否
ACTA AGROBOTANICA,3,否,是
ACTA ALIMENTARIA,4,否,否
ACTA AMAZONICA,4,否,是
ACTA ANAESTHESIOLOGICA BELGICA,4,否,否
ACTA ANAESTHESIOLOGICA SCANDINAVICA,4,否,否
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,3,否,否
Acta Angiologica,4,否,是
ACTA APPLICANDAE MATHEMATICAE,4,否,否
ACTA ARCHAEOLOGICA,3,否,否
ACTA ARITHMETICA,3,否,否
ACTA ASTRONAUTICA,2,否,否
ACTA ASTRONOMICA,4,否,否
Acta Balneologica,4,否,否
Acta Baltico-Slavica,4,否,是
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,2,否,否
ACTA BIOCHIMICA POLONICA,4,否,否
Acta Bioclinica,4,否,否
Acta Bioethica,4,否,是
ACTA BIOLOGICA COLOMBIANA,4,否,是
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,4,否,否
Acta Biomaterialia,1,是,否
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,4,否,否
ACTA BIOTHEORETICA,3,否,否
Acta Borealia,4,否,否
Acta Botanica Brasilica,4,否,是
ACTA BOTANICA CROATICA,4,否,是
Acta Botanica Mexicana,4,否,否
Acta Brasiliensis,4,否,是
Acta Cardiologica Sinica,4,否,否
ACTA CARDIOLOGICA,4,否,否
ACTA CARSOLOGICA,4,否,是
Acta Chemica Iasi,4,否,是
ACTA CHIMICA SINICA,2,否,否
Acta Chimica Slovaca,4,否,否
ACTA CHIMICA SLOVENICA,4,否,是
ACTA CHIROPTEROLOGICA,4,否,否
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,4,否,否
ACTA CHIRURGICA BELGICA,4,否,否
ACTA CHROMATOGRAPHICA,4,否,否
Acta Cirurgica Brasileira,4,否,是
Acta Classica,3,否,否
ACTA CLINICA BELGICA,4,否,否
Acta Clinica Croatica,4,否,是
Acta Colombiana de Psicologia,4,否,是
Acta Crystallographica A-Foundation and Advances,4,否,否
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,3,否,否
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,4,否,否
Acta Crystallographica Section D-Structural Biology,4,否,否
Acta Crystallographica Section E-Crystallographic Communications,4,否,是
Acta Crystallographica Section F-Structural Biology Communications,4,否,否
Acta Cybernetica,4,否,否
ACTA CYTOLOGICA,4,否,否
ACTA DERMATO-VENEREOLOGICA,3,否,是
Acta Dermatovenerologica Alpina Pannonica et Adriatica,4,否,否
Acta Dermatovenerologica Croatica,4,否,否
ACTA DIABETOLOGICA,3,否,否
Acta Endocrinologica-Bucharest,4,否,否
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,3,否,否
Acta Epileptologica,4,否,是
Acta et Commentationes Universitatis Tartuensis de Mathematica,4,否,否
ACTA ETHOLOGICA,4,否,否
Acta Facultatis Medicae Naissensis,4,否,是
Acta Facultatis Xylologiae Zvolen,4,否,否
ACTA GASTRO-ENTEROLOGICA BELGICA,4,否,否
Acta Geochimica,3,否,否
Acta Geodaetica et Geophysica,4,否,否
Acta Geodynamica et Geomaterialia,4,否,否
Acta Geographica Slovenica-Geografski Zbornik,4,否,是
ACTA GEOLOGICA POLONICA,4,否,否
ACTA GEOLOGICA SINICA-ENGLISH EDITION,4,否,否
Acta Geophysica,4,否,否
Acta Geotechnica Slovenica,4,否,否
Acta Geotechnica,1,是,否
Acta Germanica-German studies in Africa,4,否,否
Acta Gymnica,4,否,是
ACTA HAEMATOLOGICA,4,否,否
Acta Herpetologica,4,否,是
ACTA HISTOCHEMICA ET CYTOCHEMICA,4,否,否
ACTA HISTOCHEMICA,3,否,否
Acta Historica Tallinnensia,3,否,是
Acta Historica Universitatis Klaipedensis,4,否,是
Acta Histriae,2,否,是
ACTA ICHTHYOLOGICA ET PISCATORIA,4,否,是
Acta Informatica Pragensia,4,否,是
ACTA INFORMATICA,4,否,否
Acta Kinesiologica,4,否,否
Acta Koreana,4,否,否
Acta Linguistica Academica,3,否,否
Acta Literaria,4,否,否
Acta Logistica,4,否,是
ACTA MATERIALIA,1,是,否
ACTA MATHEMATICA HUNGARICA,4,否,否
ACTA MATHEMATICA SCIENTIA,3,否,否
ACTA MATHEMATICA SINICA-ENGLISH SERIES,4,否,否
Acta Mathematica Universitatis Comenianae,4,否,否
Acta Mathematica Vietnamica,4,否,否
ACTA MATHEMATICA,1,是,否
Acta Mathematicae Applicatae Sinica-English Series,4,否,否
Acta Mechanica et Automatica,4,否,是
ACTA MECHANICA SINICA,2,否,否
ACTA MECHANICA SOLIDA SINICA,4,否,否
ACTA MECHANICA,3,否,否
Acta Medica Indonesiana,4,否,是
ACTA MEDICA OKAYAMA,4,否,否
Acta Medica Portuguesa,4,否,是
Acta Medico-Historica Adriatica,4,否,是
Acta Metallurgica Sinica-English Letters,2,否,否
ACTA METALLURGICA SINICA,2,否,否
Acta Metallurgica Slovaca,4,否,是
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,4,否,否
ACTA MISSIOLOGICA,3,否,否
Acta Montanistica Slovaca,4,否,是
ACTA MUSICOLOGICA,1,是,否
Acta Naturae,4,否,否
Acta Neophilologica,3,否,是
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,4,否,否
ACTA NEUROCHIRURGICA,3,否,否
ACTA NEUROLOGICA BELGICA,4,否,否
ACTA NEUROLOGICA SCANDINAVICA,3,否,否
Acta Neuropathologica Communications,1,是,是
ACTA NEUROPATHOLOGICA,1,是,否
ACTA NEUROPSYCHIATRICA,4,否,否
Acta Neuropsychologica,4,否,否
ACTA NUMERICA,1,是,否
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,2,否,是
ACTA OCEANOLOGICA SINICA,2,否,否
ACTA ODONTOLOGICA SCANDINAVICA,4,否,否
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,4,否,否
ACTA OECONOMICA,4,否,否
Acta of Bioengineering and Biomechanics,4,否,否
ACTA ONCOLOGICA,3,否,否
ACTA OPHTHALMOLOGICA,3,否,否
ACTA OPTICA SINICA,2,否,否
Acta Orientalia Academiae Scientiarum Hungaricae,3,否,否
ACTA ORNITHOLOGICA,4,否,否
Acta Orthopaedica Belgica,4,否,否
Acta Orthopaedica et Traumatologica Turcica,4,否,是
Acta Orthopaedica,2,否,是
Acta Ortopedica Brasileira,4,否,是
Acta Oto-Laryngologica Case Reports,4,否,是
ACTA OTO-LARYNGOLOGICA,4,否,否
Acta Otorhinolaryngologica Italica,3,否,是
Acta Otorrinolaringologica Espanola,4,否,否
ACTA PAEDIATRICA,4,否,否
ACTA PALAEONTOLOGICA POLONICA,3,否,是
ACTA PARASITOLOGICA,3,否,否
Acta Paulista de Enfermagem,4,否,是
Acta Pediatrica de Mexico,4,否,是
ACTA PETROLOGICA SINICA,2,否,否
Acta Pharmaceutica Sinica B,1,是,是
ACTA PHARMACEUTICA,4,否,是
ACTA PHARMACOLOGICA SINICA,2,否,否
Acta Philosophica,4,否,否
Acta Phlebologica,4,否,否
Acta Photonica Sinica,3,否,否
ACTA PHYSICA POLONICA A,4,否,否
ACTA PHYSICA POLONICA B,4,否,否
ACTA PHYSICA SINICA,3,否,否
ACTA PHYSICO-CHIMICA SINICA,2,否,否
ACTA PHYSIOLOGIAE PLANTARUM,4,否,否
Acta Physiologica,1,是,否
Acta Phytotaxonomica et Geobotanica,4,否,否
Acta Poetica,3,否,是
Acta Politica,3,否,否
ACTA POLONIAE HISTORICA,4,否,否
ACTA POLONIAE PHARMACEUTICA,4,否,是
ACTA POLYMERICA SINICA,2,否,否
Acta Polytechnica Hungarica,4,否,否
Acta Polytechnica,4,否,是
ACTA PROTOZOOLOGICA,4,否,否
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,4,否,否
ACTA PSYCHIATRICA SCANDINAVICA,2,否,否
Acta Psychologica Sinica,2,否,否
ACTA PSYCHOLOGICA,3,否,是
Acta Radiologica Open,4,否,是
ACTA RADIOLOGICA,4,否,否
Acta Scientiae Veterinariae,4,否,否
ACTA SCIENTIARUM MATHEMATICARUM,4,否,否
Acta Scientiarum Polonorum-Formatio Circumiectus,4,否,是
Acta Scientiarum Polonorum-Hortorum Cultus,4,否,是
Acta Scientiarum Polonorum-Technologia Alimentaria,4,否,否
ACTA SCIENTIARUM-AGRONOMY,4,否,是
ACTA SCIENTIARUM-HEALTH SCIENCES,4,否,是
ACTA SCIENTIARUM-TECHNOLOGY,4,否,是
Acta Silvae et Ligni,4,否,是
ACTA SOCIETATIS BOTANICORUM POLONIAE,4,否,是
ACTA SOCIOLOGICA,3,否,否
Acta Stomatologica Croatica,4,否,是
Acta Structilia,4,否,是
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,4,否,否
Acta Technologica Agriculturae,4,否,是
Acta Theologica,4,否,是
ACTA TROPICA,3,否,否
Acta Turistica,4,否,否
Acta Universitatis Carolinae Theologica,3,否,是
Acta Universitatis Lodziensis Folia Litteraria Romanica,4,否,是
Acta Universitatis Sapientiae Informatica,4,否,是
Acta Universitatis Sapientiae-Film and Media Studies,3,否,是
Acta Universitatis Sapientiae-Mathematica,4,否,是
ACTA VETERINARIA BRNO,4,否,否
Acta Veterinaria Eurasia,4,否,是
ACTA VETERINARIA HUNGARICA,4,否,否
ACTA VETERINARIA SCANDINAVICA,2,否,是
ACTA VETERINARIA-BEOGRAD,4,否,是
ACTA VIROLOGICA,4,否,否
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,4,否,是
ACTA ZOOLOGICA BULGARICA,4,否,否
ACTA ZOOLOGICA,4,否,否
Actas Dermo-Sifiliograficas,4,否,是
ACTAS ESPANOLAS DE PSIQUIATRIA,4,否,否
Actas Urologicas Espanolas,4,否,否
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,4,否,否
Action Learning,4,否,否
Action Research,4,否,否
Active Learning in Higher Education,1,是,否
Activitas Nervosa Superior Rediviva,4,否,否
Activites-Revue Electronique,4,否,是
Activities Adaptation & Aging,4,否,否
Actualidad Contable Faces,4,否,是
Actualidad Juridica Ambiental,4,否,是
Actualidades en Psicologia,4,否,是
Actualidades Pedagogicas,4,否,否
Actualites Pharmaceutiques,4,否,否
Actualizaciones en Osteologia,4,否,否
Actuators,3,否,是
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,4,否,否
Acupuncture and Herbal Medicine,4,否,否
Acupuncture in Medicine,4,否,否
Acute and Critical Care,4,否,是
Acute Medicine & Surgery,4,否,是
Ad Hoc & Sensor Wireless Networks,4,否,否
Ad Hoc Networks,3,否,否
AD-minister,4,否,是
Adalya,4,否,否
ADANSONIA,4,否,是
Adaptation-The Journal of Literature on Screen Studies,3,否,否
ADAPTED PHYSICAL ACTIVITY QUARTERLY,4,否,否
ADAPTIVE BEHAVIOR,4,否,否
Adaptive Human Behavior and Physiology,4,否,否
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,4,否,是
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,4,否,是
Addicta-The Turkish Journal on Addictions,4,否,是
ADDICTION BIOLOGY,3,否,否
ADDICTION RESEARCH & THEORY,4,否,否
Addiction Science & Clinical Practice,2,否,是
ADDICTION,2,是,否
ADDICTIVE BEHAVIORS,2,否,否
Additive Manufacturing Letters,3,否,是
Additive Manufacturing,1,是,否
Adelaide Law Review,4,否,否
Adeptus,4,否,是
Adicciones,4,否,否
Adipocyte,3,否,是
ADMET and DMPK,4,否,是
Administracao Publica e Gestao Social,4,否,是
Administracao-Ensino e Pesquisa,4,否,是
ADMINISTRATION & SOCIETY,3,否,否
Administration and Policy in Mental Health and Mental Health Services Research,3,否,否
Administration,4,否,是
ADMINISTRATIVE SCIENCE QUARTERLY,1,是,否
Administrative Sciences,3,否,是
Adolescent Health Medicine and Therapeutics,4,否,是
Adolescent Psychiatry,4,否,否
Adolescent Research Review,2,否,否
Adoption and Fostering,4,否,否
Adoption Quarterly,4,否,否
ADSORPTION SCIENCE & TECHNOLOGY,4,否,是
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,4,否,否
ADULT EDUCATION QUARTERLY,4,否,否
Adult Learning,4,否,否
Advanced Biology,4,否,否
Advanced Biomedical Engineering,4,否,是
Advanced Biomedical Research,4,否,是
ADVANCED COMPOSITE MATERIALS,4,否,否
Advanced Composites and Hybrid Materials,1,是,否
ADVANCED DRUG DELIVERY REVIEWS,1,是,否
Advanced Education,4,否,是
Advanced Electromagnetics,4,否,是
Advanced Electronic Materials,3,否,是
Advanced Emergency Nursing Journal,4,否,否
Advanced Energy and Sustainability Research,4,否,是
Advanced Energy Materials,1,是,否
ADVANCED ENGINEERING INFORMATICS,1,是,否
ADVANCED ENGINEERING MATERIALS,3,否,否
Advanced Fiber Materials,1,是,否
ADVANCED FUNCTIONAL MATERIALS,1,是,否
Advanced Healthcare Materials,2,是,否
Advanced Industrial and Engineering Polymer Research,1,是,是
Advanced Intelligent Systems,3,否,是
Advanced Manufacturing-Polymer & Composites Science,4,否,是
ADVANCED MATERIALS & PROCESSES,4,否,否
Advanced Materials Interfaces,3,否,是
Advanced Materials Technologies,3,否,否
ADVANCED MATERIALS,1,是,否
Advanced Modeling and Simulation in Engineering Sciences,3,否,是
Advanced NanoBiomed Research,4,否,是
ADVANCED NONLINEAR STUDIES,1,是,是
Advanced Optical Materials,2,否,否
Advanced Optical Technologies,4,否,是
Advanced Pharmaceutical Bulletin,4,否,是
Advanced Photonics Research,3,否,是
Advanced Photonics,1,是,是
Advanced Powder Materials,1,是,是
ADVANCED POWDER TECHNOLOGY,3,否,否
Advanced Quantum Technologies,2,否,否
ADVANCED ROBOTICS,4,否,否
Advanced Science,1,是,是
Advanced Sensor and Energy Materials,4,否,否
Advanced Steel Construction,4,否,否
Advanced Studies-Euro-Tbilisi Mathematical Journal,4,否,否
Advanced Sustainable Systems,3,否,否
ADVANCED SYNTHESIS & CATALYSIS,2,否,否
Advanced Theory and Simulations,3,否,否
Advanced Therapeutics,4,否,否
Advancements in Life Sciences,4,否,是
Advancements of Microbiology,4,否,是
Advances and Applications in Discrete Mathematics,4,否,否
Advances and Applications in Statistics,4,否,否
Advances in Accounting,4,否,否
Advances in Aerodynamics,2,否,是
Advances in Agriculture,4,否,是
Advances in Aircraft and Spacecraft Science,4,否,否
ADVANCES IN ANATOMIC PATHOLOGY,2,否,否
Advances in Applied Ceramics,4,否,否
Advances in Applied Clifford Algebras,4,否,否
Advances in Applied Energy,1,是,是
Advances in Applied Mathematics and Mechanics,4,否,否
ADVANCES IN APPLIED MATHEMATICS,3,否,否
ADVANCES IN APPLIED PROBABILITY,3,否,否
Advances in Archaeological Practice,1,是,否
Advances in Astronomy and Space Physics,4,否,否
Advances in Astronomy,3,否,是
ADVANCES IN ATMOSPHERIC SCIENCES,1,是,否
Advances in Autism,4,否,否
Advances in Building Energy Research,4,否,否
Advances in Calculus of Variations,3,否,否
Advances in Cancer Biology-Metastasis,4,否,否
ADVANCES IN CEMENT RESEARCH,4,否,否
Advances in Civil and Architectural Engineering,4,否,是
Advances in Civil Engineering Materials,4,否,否
Advances in Civil Engineering,4,否,是
Advances in Climate Change Research,1,是,是
Advances in Clinical and Experimental Medicine,4,否,是
Advances in Cognitive Psychology,4,否,是
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1,是,否
ADVANCES IN COMPLEX SYSTEMS,4,否,否
"Advances in Computational Design, An International Journal",4,否,否
ADVANCES IN COMPUTATIONAL MATHEMATICS,3,否,否
Advances in Concrete Construction,4,否,否
Advances in Condensed Matter Physics,4,否,是
Advances in Continuous and Discrete Models,2,否,否
Advances in Data Analysis and Classification,4,否,否
Advances in Data Science and Adaptive Analysis,4,否,否
Advances in Developing Human Resources,3,否,否
Advances in Differential Equations and Control Processes,4,否,否
Advances in Differential Equations,2,否,否
Advances in Digestive Medicine,4,否,否
Advances in Dual Diagnosis,4,否,否
Advances in Electrical and Computer Engineering,4,否,是
Advances in Electrical and Electronic Engineering,4,否,是
Advances in Energy Research,4,否,否
ADVANCES IN ENGINEERING SOFTWARE,3,否,否
Advances in Environmental Research-An International Journal,4,否,否
Advances in Fuzzy Systems,4,否,是
Advances in Geo-Energy Research,1,是,是
Advances in Geodesy and Geoinformation,4,否,是
ADVANCES IN GEOMETRY,4,否,否
Advances in Gerontology,4,否,否
Advances in Group Theory and Applications,4,否,是
ADVANCES IN HEALTH SCIENCES EDUCATION,2,是,否
Advances in High Energy Physics,4,否,是
Advances in Hospitality and Tourism Research-AHTR,4,否,是
Advances in Human Biology,4,否,是
Advances in Human-Computer Interaction,4,否,是
Advances in Industrial and Manufacturing Engineering,3,否,是
Advances in Integrative Medicine,4,否,否
Advances in Kidney Disease and Health,4,否,否
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,4,否,是
Advances in Life Course Research,2,否,否
Advances in Manufacturing,3,否,否
Advances in Materials and Processing Technologies,4,否,否
Advances in Materials Research-An International Journal,4,否,否
Advances in Materials Science,4,否,否
Advances in Mathematical Physics,4,否,是
Advances in Mathematics of Communications,4,否,否
ADVANCES IN MATHEMATICS,1,是,否
Advances in Mechanical Engineering,4,否,是
Advances in Medical Education and Practice,4,否,是
Advances in Medical Sciences,4,否,否
Advances in Mental Health and Intellectual Disabilities,4,否,否
Advances in Mental Health,4,否,否
Advances in Meteorology,4,否,是
Advances in Methods and Practices in Psychological Science,1,是,是
Advances in Multimedia,4,否,是
Advances in Nano Research,4,否,否
Advances in Natural Sciences-Nanoscience and Nanotechnology,4,否,否
Advances in Neonatal Care,4,否,否
Advances in Neurodevelopmental Disorders,4,否,否
Advances in Nonlinear Analysis,1,是,是
ADVANCES IN NURSING SCIENCE,4,否,否
Advances in Nutrition,2,是,是
Advances in Operator Theory,4,否,否
Advances in Optics and Photonics,1,是,否
Advances in Orthopedics,4,否,是
Advances in Pharmacological and Pharmaceutical Sciences,4,否,是
Advances in Pharmacology and Pharmacy,4,否,否
Advances in Physics-X,2,否,是
ADVANCES IN PHYSICS,1,是,否
ADVANCES IN PHYSIOLOGY EDUCATION,4,否,否
ADVANCES IN POLYMER TECHNOLOGY,4,否,是
Advances in Production Engineering & Management,3,否,否
Advances in Public Health,4,否,是
Advances in Pure and Applied Mathematics,4,否,否
Advances in Radiation Oncology,4,否,是
Advances in Radio Science,4,否,是
Advances in Rehabilitation Science and Practice,4,否,否
Advances in Respiratory Medicine,4,否,是
Advances in Rheumatology,4,否,是
Advances in Sample Preparation,2,否,是
Advances in Science and Technology-Research Journal,4,否,是
Advances in Simulation,3,否,是
Advances in Skin & Wound Care,4,否,否
ADVANCES IN SPACE RESEARCH,3,否,否
ADVANCES IN STRUCTURAL ENGINEERING,4,否,否
Advances in Theoretical and Mathematical Physics,4,否,否
ADVANCES IN THERAPY,3,否,否
Advances in Traditional Medicine,4,否,否
Advances in Urology,3,否,是
Advances in Virology,4,否,是
ADVANCES IN WATER RESOURCES,2,否,否
Advances in Weed Science,4,否,是
Advances in Wound Care,3,否,否
Aedos-Revista do Corpo Discente do Programa de Pos-Graduacao em Historia da UFRGS,4,否,否
AEM Education and Training,4,否,否
Aeolian Research,3,否,否
Aequationes Mathematicae,3,否,否
AERA Open,2,否,是
AEROBIOLOGIA,4,否,否
AERONAUTICAL JOURNAL,4,否,否
Aerosol and Air Quality Research,4,否,是
Aerosol Science and Engineering,4,否,否
AEROSOL SCIENCE AND TECHNOLOGY,4,否,否
AEROSPACE AMERICA,4,否,否
Aerospace Medicine and Human Performance,4,否,否
Aerospace Research in Bulgaria,4,否,否
Aerospace Science and Technology,1,是,否
Aerospace,3,否,是
AESTHETIC PLASTIC SURGERY,3,否,否
Aesthetic Surgery Journal Open Forum,4,否,是
Aesthetic Surgery Journal,3,否,否
Aestimum,4,否,是
